flag,resolution_path,current_rig_env_value,current_rig_db_row,decision,mechanism,off_rationale,probe,call_site
ENABLE_CONNECTOR_ARTIFACT_ENQUEUE,env-direct (raw process.env === 'true' per run in the DS-03 producer; config copy gates only the dormant in-process backup),true,no row (not worker-read),ON,env-on-revision,already ON,"forced POST /jobs/docusign-envelope-completed after a signed synthetic envelope-completed webhook -> connector_artifact count delta +1 (enqueue_connector_artifact RPC; baseline 0)","services/worker/src/jobs/docusign-envelope-completed.ts:299,412; backup registration services/worker/src/routes/scheduled.ts:361"
ENABLE_CONNECTOR_ARTIFACT_DRAIN,env-direct (config.enableConnectorArtifactDrain read per run; Cloud Scheduler binding drain-connector-artifacts exists on rig),true,no row (not worker-read),ON,env-on-revision,already ON,"forced POST /jobs/drain-connector-artifacts with pending connector_artifact fixture -> connector_artifact pending->anchored status delta + anchors count delta + org_credit_deductions delta (charges at SECURING)","services/worker/src/jobs/connector-artifact-drain.ts:1349; services/worker/src/routes/cron.ts:859"
ENABLE_WEBHOOK_HMAC,env-direct (raw process.env !== 'false' per REQUEST — default ON; production refuses 'false' outright),unset (= enabled),no row (not worker-read),ON,env-on-revision,"leave unset or set 'true' (identical). Two-sided probe required — a 401 alone is not proof","pair probe: unsigned forged POST to /api/v1/webhooks/docusign -> 401 AND docusign_webhook_nonces delta = 0; correctly-signed POST -> nonce delta +1. The zero-delta on the forged leg is the flag-live assertion","services/worker/src/middleware/webhookHmac.ts:66,68"
ENABLE_TREASURY_ALERTS,env-direct (raw process.env !== 'false' per run — default ON). BOOT TRAP: literal 'true' in production with prod anchoring requires SLACK_TREASURY_WEBHOOK_URL or TREASURY_ALERT_EMAIL (config.ts:761-770) — neither bound on rig,unset (= enabled),no row (not worker-read),ON,env-on-revision,"decision is ON but the env var must stay UNSET — setting the literal string 'true' crashes the final deploy at Zod boot validation. Delivery channels are unbound so dispatch is a no-op; the decision/record path is what the soak covers; declared partial (no delivery leg)","forced POST /jobs/treasury-alert-check with treasury_cache below-threshold fixture -> treasury_alert_state row delta/updated_at change (baseline 1 row)","services/worker/src/jobs/treasury-alert.ts:191; services/worker/src/config.ts:761"
ENABLE_PARTNER_PROVISIONING,"db-rpc-ttl60s (live get_flag via callRpc, 60s TTL, fail-CLOSED — no row means surface 404s)",unset,NO ROW (gate fails closed today),ON,seed-db-row,,"POST /api/partner-provisioning request->approve->provision cycle -> audit_events count delta >0 (partner-provisioning transition events; persistence is via the audit_events writer — the state machine module is deliberately DB-free)","services/worker/src/middleware/partnerProvisioningGate.ts:47; mount services/worker/src/index.ts:555; services/worker/src/api/partner-provisioning.ts:1-20"
ENABLE_ADES_SIGNATURES,db-table-ttl60s (adesFeatureGate direct switchboard_flags read; env fallback on missing row/error),unset,NO ROW (gate resolves false via env fallback),OFF,n/a,"aws_kms default with no AWS account: engine factory defaults ADES_KMS_PROVIDER='aws_kms' -> AwsKmsHsmBridge; @aws-sdk/client-kms is installed (worker package.json:25) so it does NOT crash at boot (lazy init on first gated request) but EVERY sign call fails at AWS credential resolution; additionally QTSP_PRIMARY_URL unset (no timestamp authority) and signing_certificates baseline 0 (no certs provisioned). Opening the gate yields a surface that 500s on every real use — inert-but-erroring, worse than closed. Declared untested (memory/feedback_no_aws.md)","n/a while OFF. If later provisioned (ADES_KMS_PROVIDER=gcp_kms + GCP key + QTSP + certs): signatures + timestamp_tokens count delta >0 per /api/v1/sign call","services/worker/src/middleware/adesFeatureGate.ts:50-66; services/worker/src/signatures/engineFactory.ts:45; services/worker/src/signatures/pki/hsmBridge.ts:173"
ENABLE_VERIFICATION_API,featureGate-ttl60s (live get_flag via callRpc; 60s TTL; fail-CLOSED; env is NOT a runtime fallback for this gate),true (registry fallback only),true,ON,n/a (already live),,"GET /api/v1/verify/{fingerprint} on a fixture anchor -> verification_events count delta +1","services/worker/src/middleware/featureGate.ts:37; mount services/worker/src/api/v1/router.ts"
ENABLE_AI_EXTRACTION,db-table-ttl60s (aiFeatureGate; launch-required: fail default = env value per CLAUDE.md §1.6),true,true,ON,n/a (already live),,"POST /api/v1/ai/extract fixture -> ai_usage_events count delta +1 (and extraction_manifests delta where applicable)","services/worker/src/middleware/aiFeatureGate.ts:69-71,164,171; services/worker/src/api/v1/router.ts:349-350"
ENABLE_AI_REPORTS,db-table-ttl60s (aiFeatureGate),true,true,ON,n/a (already live),,POST /api/v1/ai/reports fixture -> ai_reports count delta +1,"services/worker/src/middleware/aiFeatureGate.ts:167,174; services/worker/src/api/v1/router.ts:382"
ENABLE_ATTESTATION_ANCHORING,db-rpc-live (get_flag per run; fail-closed),unset,true,ON,n/a (already live),,"forced POST /jobs/anchor-attestations with attestations fixture -> attestations anchored-status delta + anchors count delta (scheduler binding anchor-attestations exists on rig)",services/worker/src/jobs/attestationAnchor.ts:59
ENABLE_BATCH_ANCHORING,registry-boot-snapshot (flagRegistry.getFlag in the batch-anchor claim path; row read once at init),unset,true,ON,n/a (row already true; any future flip needs restart),"restart-ordering note applies to any flip during the soak: a row change alone does NOT reach the running worker","per batch-anchors run (scheduler 5-min binding): anchors SECURING->SUBMITTED status delta + anchor_txid_journal count delta; txid must confirm on signet explorer (mock detector: any chain_block_height > 400000 on this signet rig is MockChainClient output)",services/worker/src/jobs/batch-anchor.ts:622
ENABLE_OUTBOUND_WEBHOOKS,db-rpc-live (get_flag per dispatch; fail-closed),unset,true,ON,n/a (already live),,"dispatch any webhook event with webhook_endpoints fixture -> webhook_delivery_logs count delta +1",services/worker/src/webhooks/delivery.ts:91
ENABLE_X402_PAYMENTS,db-rpc-live (get_flag inside x402PaymentGate),unset,true,ON,n/a (already live),"caveat: gate is open but the payment rail is unconfigured on the rig (X402_FACILITATOR_URL / ARKOVA_USDC_ADDRESS / X402_NETWORK all unset) — x402 flows are declared untested; row stays true for prod parity only","x402_payments count delta would require facilitator config; declared untested — do not fake a probe",services/worker/src/middleware/x402PaymentGate.ts:438
ENABLE_PUBLIC_RECORDS_INGESTION,db-rpc-live (get_flag per fetcher run; ~30 fetcher jobs + pipeline util),unset,true,ON,n/a (already live),"caveat: no fetch-* Cloud Scheduler bindings on the rig (prod feeder crons are PAUSED per ops memory; 259k backlog) — exercised only via forced runs against real external APIs","forced POST /jobs/fetch-federal-register (or another bounded fetcher) -> public_records count delta >0","services/worker/src/utils/pipeline.ts:25; e.g. services/worker/src/jobs/federalRegisterFetcher.ts:61"
ENABLE_PUBLIC_RECORD_ANCHORING,db-rpc-live (get_flag per run),unset,true,ON,n/a (already live),,forced POST /jobs/anchor-public-records with unanchored public_records fixture -> public_records anchored-status delta + anchors delta,services/worker/src/jobs/publicRecordAnchor.ts:467
ENABLE_PUBLIC_RECORD_EMBEDDINGS,db-rpc-live (get_flag per run; also gates GET nessie-query surface),unset,true,ON,n/a (already live),"note: the nessie-query READ surface this also gates is distinct from ENABLE_NESSIE_RAG_RECOMMENDATIONS (env; stays OFF per founder directive) — row true does not activate Nessie",forced POST /jobs/embed-public-records with public_records fixture -> public_record_embeddings count delta >0,"services/worker/src/jobs/publicRecordEmbedder.ts:79; services/worker/src/api/v1/nessie-query.ts:199"
ENABLE_NEW_CHECKOUTS,frontend-only db-rpc get_flag 30s cache (no worker consumer),unset,true,ON,n/a (already live),,n/a — UI-only consumer; no server row-delta exists,src/lib/switchboard.ts:166
ENABLE_REPORTS,frontend-only db-rpc get_flag 30s cache (no worker consumer),unset,true,ON,n/a (already live),,n/a — UI-only consumer,src/lib/switchboard.ts:173
ENABLE_ISSUE_CREDENTIAL_SPLIT,frontend-only db-rpc get_flag 30s cache (no worker consumer),unset,true,ON,n/a (already live),,n/a — UI-only consumer (SCRUM-1755 gating),src/lib/switchboard.ts:218; src/hooks/useIssueCredentialSplit.ts
ENABLE_MCP_SERVER,edge-worker db-rpc get_flag (Cloudflare edge kill switch; 30s isolate cache) — NOT read by the Cloud Run worker,unset,true,ON,n/a (already live),"caveat: consumer is edge.arkova.ai (separate Cloudflare deployment pointed at PROD, not the rig) — this flag is outside the rig soak's blast radius; no rig probe exists",n/a for the rig,services/edge/src/mcp-kill-switch.ts:63
ENABLE_ZK_PROOFS,NO CONSUMER — zero call sites repo-wide (worker + frontend + edge),unset,true,OFF (row left as-is; it gates nothing),n/a,"dead flag — row exists true but nothing reads it; do not cite it as coverage of anything; declared dead/untested",n/a — no consuming code path,none (repo-wide grep negative)
MAINTENANCE_MODE,frontend-only db-rpc get_flag 30s cache (worker registry loads it but no worker code branches on it),unset,false,OFF,n/a,"CTO ruling: stays OFF — it blanks user-facing flows in the frontend; flipping it during the soak would suppress the very E2E traffic the soak measures",n/a while OFF,src/lib/switchboard.ts:180; src/pages/PlatformControlsPage.tsx:264
ENABLE_GRC_INTEGRATIONS,dual-gated: env-direct module-load killSwitch (requires 'true') AND db-table-ttl60s grcFeatureGate; production env 'true' additionally requires GCP_KMS_INTEGRATION_TOKEN_KEY at boot,unset (killSwitch keeps /grc closed),true (row is currently moot — env gate is closed),OFF,n/a,"no GRC (Vanta/Drata) OAuth credentials on rig and setting env true crashes boot without GCP_KMS_INTEGRATION_TOKEN_KEY (config.ts:683-697); row stays true for prod parity; declared untested",n/a — surface stays 503,"services/worker/src/middleware/integrationKillSwitch.ts:19; services/worker/src/middleware/grcFeatureGate.ts:30; services/worker/src/config.ts:686"
USE_MOCKS,env-direct (config; selects MockChainClient and mock AdES HSM when true),false,n/a (env-only),OFF,env-on-revision (keep false),"MockChainClient fabricates txids that pass ^[0-9a-f]{64}$ and seeds mockBlockHeight=800000 — any mock leakage false-greens the entire chain leg of the soak. MUST stay false","inverse probe (mock detector): SELECT count(*) FROM anchors WHERE chain_block_height > 400000 must stay 0 on this signet rig (tip ~317k)","services/worker/src/config.ts:121-122; services/worker/src/signatures/engineFactory.ts:42"
ENABLE_PROD_NETWORK_ANCHORING,dual: env-direct (config; chain client construction) AND db-rpc-live in the revocation job; DB row also true (mirror),true,true,ON,n/a (already live),,"anchors reach SUBMITTED with a txid confirmed by an independent signet explorer; revocation leg: forced POST /jobs/process-revocations with revocation fixture -> revocation status delta","services/worker/src/config.ts:123; services/worker/src/jobs/revocation.ts:174; services/worker/src/chain/client.ts"
FORCE_DYNAMIC_FEE_ESTIMATION,env-direct (config; chain client fee-strategy selection),unset (boot log shows fee=Static),n/a (env-only),ON,env-on-revision,"turning this ON is the premortem's own BL-2/DEG-2 recommended fix: puts the real mempool.space fee estimator + ceiling + fallback under test on signet (rig already has BITCOIN_FEE_STRATEGY=mempool but boot log showed Static — this flag forces the dynamic path)","boot log line 'fee=Dynamic' on the final revision + fee-rate variance across anchor_txid_journal rows over the week (static path pins ~1.005 sat/vB; dynamic varies)",services/worker/src/chain/client.ts:250
ENABLE_CONFIRMATION_PROOF_BACKFILL,env-direct (config) — but gates ONLY the dormant in-process registration; the Cloud Scheduler binding populate-confirmation-proofs (5-min) calls the HTTP route which does NOT read this flag (job itself checks only USE_MOCKS/PROD_NETWORK_ANCHORING),unset,n/a (env-only),ON,n/a (already live via Cloud Scheduler; env flag is a no-op on this rig),"do not set the env var and then cite it — it would be a false claim of mechanism; the scheduler binding is the real driver","anchor_proofs rows with block_header populated: count delta >0 across confirmed batches (proof-materialization gap is a tracked prod defect — this probe is load-bearing)","services/worker/src/routes/scheduled.ts:308 (gated registration); services/worker/src/routes/cron.ts:348 (ungated route); services/worker/src/jobs/confirmation-proof-backfill.ts:82"
ENABLE_QUEUE_DIGEST,env-direct (config),unset,n/a (env-only),OFF,n/a,"prod parity (default false); digest delivery channels (email) unbound on rig; adds notification noise with no assertion value",n/a while OFF,services/worker/src/jobs/queue-digest-cron.ts:520
DISABLE_IN_PROCESS_ANCHOR_CRON,env-direct (config; inverse-sense control flag),unset (= in-process backup registered),n/a (env-only),OFF (leave unset),n/a,"keep default: in-process node-cron is dormant under Cloud Run CPU throttling anyway; Cloud Scheduler is the real driver; run-lease guards prevent double-fire where both are alive",n/a — control flag not a feature,services/worker/src/routes/scheduled.ts:65
ENABLE_CREDENTIAL_VERIFIED_WEBHOOK,env-direct (config; emits credential.verified outbound event on verify),unset,n/a (env-only),OFF,n/a,"prod parity (default false; not prod-enabled). Enabling would add an event-emission path prod does not run — soak evidence must describe prod behavior",n/a while OFF,"services/worker/src/api/v1/oracle.ts:212; services/worker/src/api/v1/verify.ts:853"
ENABLE_ALLOCATION_ROLLOVER,env-direct DIVERGENT: config default false but the JOB reads raw process.env !== 'false' (unset = job-level ENABLED if the route is ever forced),unset,n/a (env-only),OFF,env-on-revision (set literal 'false' to neutralize the job-level default-ON divergence),"monthly credit rollover mutates credit ledgers; no rig scheduler binding, but the raw-env default-ON divergence means a stray forced run would execute — pin it off explicitly",inverse probe: org_monthly_allocation rollover rows delta stays 0 all soak,services/worker/src/jobs/monthly-allocation-rollover.ts:33
ENABLE_VISUAL_FRAUD_DETECTION,db-table-ttl60s (aiFeatureGate; kill-switchable fail-CLOSED),unset,no row,OFF,n/a,"legacy /ai/fraud/visual fails closed pending SCRUM-1955 client-side worker (§1.6 exception path not deployable server-side); opening the gate exposes a dead endpoint",n/a while OFF,"services/worker/src/middleware/aiFeatureGate.ts:168,175-178; services/worker/src/config.ts:408-409"
ENABLE_PROFESSIONAL_EDUCATION_SCHEMA_READY,env-direct (config via professionalEducationSchemaGate),unset,n/a (env-only),OFF,n/a,"unlocks PR #841 CPE/CLE runtime paths only after schema + ledger reconciliation which has not been verified on this rig; declared untested",n/a while OFF,services/worker/src/utils/professionalEducationSchemaGate.ts:9
ENABLE_DEMO_INJECTOR,env-direct (raw process.env === 'true'),unset,n/a (env-only),OFF,n/a,"CTO ruling: fabricates synthetic demo events that contaminate soak analytics + audit data; production Zod guard also rejects it (config.ts:775-783)",inverse probe: zero injector-tagged rows all soak,services/worker/src/api/demo-event-injector.ts:89
ENABLE_SYNTHETIC_DATA,env-direct (raw process.env; gates Replicate QA provider),unset,n/a (env-only),OFF,n/a,"CTO ruling: synthetic/seeded fixture generator + Replicate (QA-only, hard-blocked in prod) fabricate soak data; production Zod guard rejects it",inverse probe: AI_PROVIDER remains gemini; no replicate usage rows,"services/worker/src/ai/replicate.ts:30; services/worker/src/config.ts:779"
ENABLE_NESSIE_RAG_RECOMMENDATIONS,env-direct (raw process.env; requires 'true'),unset,n/a (env-only),OFF,n/a,"founder directive 2026-08-01: Nessie stays OFF permanently; never plan work that activates it",n/a while OFF,services/worker/src/compliance/recommendation-enrichment.ts:162
ENABLE_VERTEX_AI,env-direct (raw process.env),unset,n/a (env-only),OFF,n/a,"rig AI path is Gemini via AI Studio GEMINI_API_KEY (bound); Vertex adds no soak coverage and needs SA/quota setup; S3.3 ruling: tuned Vertex endpoint does not cut 429s",n/a while OFF,services/worker/src/ai/vertex-client.ts:147
ENABLE_AI_FALLBACK,env-direct (raw process.env === 'true'),unset,n/a (env-only),OFF,n/a,"Cloudflare AI fallback creds not bound on rig; CLAUDE.md §1.1 default false",n/a while OFF,services/worker/src/ai/factory.ts:61
ENABLE_MULTIMODAL_EMBEDDINGS,env-direct (raw process.env === 'true'),unset,n/a (env-only),OFF,n/a,"opt-in image-aware embeddings; default false; Gemini golden-state constraint (GEMB2) — no coverage value for this soak",n/a while OFF,services/worker/src/ai/multimodal-embedding.ts:37
ENABLE_CONSTRAINED_DECODING,env-direct (raw process.env === 'true'; Nessie decoding path),unset,n/a (env-only),OFF,n/a,"Nessie-path decoding option — Nessie stays off per founder directive",n/a while OFF,services/worker/src/ai/nessie.ts:293
ENABLE_CLOUD_LOGGING_SINK,env-direct dual: config (producer side) + raw process.env === 'false' skip in the drain job (job default-ON but no-ops on empty cloud_logging_queue),unset,n/a (env-only),OFF,n/a,"Cloud Run already ships stdout to Cloud Logging natively; the sink adds a queue+drain hop with no assertion value for the soak",n/a while OFF (drain no-ops: cloud_logging_queue stays empty),"services/worker/src/jobs/cloud-logging-drain.ts:45; services/worker/src/config.ts:424-425"
ENABLE_WORKSPACE_RENEWAL,env-direct DIVERGENT: config boolFlag(false) but the JOB reads raw process.env === 'false' skip (unset = job ENABLED); in-process hourly backup registered unconditionally,unset (= job enabled),n/a (env-only),ON,n/a (default already on at job level),"caveat: renewal sweep no-ops with zero drive_watch_state channels (no Drive OAuth on rig) — runs but has nothing to renew; declared inert; note the config-vs-job default divergence for R4 cleanup","drive_watch_state renewal-timestamp delta only possible with seeded channel fixtures; otherwise assert clean no-op (run completes, zero errors)",services/worker/src/jobs/workspace-subscription-renewal.ts:138
ENABLE_ATS_WEBHOOK,env-direct module-load killSwitch (requires 'true'),unset,n/a (env-only),OFF,n/a,"no ATS vendor secrets on rig; killSwitch guards a known multi-secret tenant-isolation finding; declared untested",n/a — surface stays 503,"services/worker/src/middleware/integrationKillSwitch.ts:18; services/worker/src/api/v1/webhooks/ats.ts"
ENABLE_VEREMARK_WEBHOOK,env-direct (raw process.env !== 'true' skip) + Zod boot guard requires VEREMARK_WEBHOOK_SECRET when true,unset,n/a (env-only),OFF,n/a,"no VEREMARK_WEBHOOK_SECRET on rig — setting true crashes boot (config.ts:713-720); declared untested",n/a — surface stays closed,"services/worker/src/api/v1/webhooks/veremark.ts:21; services/worker/src/config.ts:715"
ENABLE_MICROSOFT_GRAPH_WEBHOOK,env-direct module-load killSwitch (requires 'true'); MICROSOFT_GRAPH_CLIENT_STATE required when on,unset,n/a (env-only),OFF,n/a,"no MICROSOFT_GRAPH_CLIENT_STATE on rig; declared untested",n/a — surface stays 503,"services/worker/src/middleware/integrationKillSwitch.ts:20; services/worker/src/config.ts:372-374"
ENABLE_DRIVE_LEGACY_CHANNEL_TOKEN_REJECTION,env-direct (config),unset,n/a (env-only),OFF,n/a,"hardening backstop; prod parity false; enabling would reject the synthetic legacy-channel fixtures the Drive webhook probes rely on",n/a while OFF,services/worker/src/api/v1/webhooks/drive.ts:181
ENABLE_DOCUSIGN_QUEUE_RECONCILIATION,env-direct (config; boot guard requires ENABLE_CONNECTOR_ARTIFACT_ENQUEUE=true — satisfied on rig),unset,n/a (env-only),OFF,n/a,"prod parity (default false); the re-drive leg re-fetches from DocuSign with org tokens the rig does not have, so detected drift could never resolve — the cron would re-alert every run with no resolution path (the exact misconfig config.ts:750-766 warns about)",n/a while OFF,services/worker/src/routes/cron.ts:2181
ENABLE_ORG_SUSPENSION_GUARD,env-direct (raw process.env === 'true'; NOT in config.ts schema),unset,n/a (env-only),OFF,n/a,"default-off guard on anchor submit paths; prod parity; not in soak-critical set",n/a while OFF,"services/worker/src/api/v1/anchor-submit.ts:214; services/worker/src/api/v1/anchor-bulk.ts:151; services/worker/src/api/v1/contracts/anchor-pre-signing.ts:372"
ENABLE_CE_KEY_EXPIRY_ALERTS,env-direct (config boolEnvInverse — default TRUE; only literal 'false' disables),unset (= enabled),n/a (env-only),OFF,env-on-revision (set literal 'false'),"CE_API_KEY_EXPIRES_AT is not bound on the rig, so the job's fail-LOUD sentinel/unparseable classification would alarm on every forced run — noise, not signal; the CE trial-expiry alarm is a PROD ops control, not a rig one. No rig scheduler binding exists but pin it off explicitly",inverse probe: no CE-expiry alert notifications all soak,"services/worker/src/config.ts:436; services/worker/src/routes/cron.ts:787"
ENABLE_CE_REGISTRY_DRIFT_CHECK,env-direct (config),unset,n/a (env-only),OFF,n/a,"no Credential Engine registry credentials on rig; declared untested","n/a while OFF","services/worker/src/config.ts:451; services/worker/src/routes/cron.ts:806"
ARIZE_TRACING_ENABLED,env-direct (config; boot guard requires ARIZE_API_KEY + ARIZE_SPACE_ID when true),unset,n/a (env-only),OFF,n/a,"no Arize creds on rig; setting true trips the Zod boot guard (config.ts:770-780 region); observability nicety with no soak assertion value",n/a while OFF,services/worker/src/config.ts:455
MIDDESK_SANDBOX,env-direct (config boolEnvInverse — default true),unset (= sandbox true),n/a (env-only),ON (default; no action),n/a,"Middesk is INERT in prod (two-grade org verification decision 2026-08-11); sandbox default is the safe state; no action",n/a — inert integration,services/worker/src/config.ts:380
